source_unit,mealie_unit,flags
Available,(none),food-only
Bag,pack,approx
Ball,(none),food-only
Bottle,(none),food-only
Box,pack,approx
Bunch,bunch,
Buns,(none),food-only
Can,can,
Cloves,clove,
Crackers,(none),food-only
Cube,(none),food-only
Cup,cup,
Dash,dash,
Drop,(none),food-only
Handful,(none),food-only
Head,head,
Heads,head,
Jar,(none),food-only
Leaf,(none),food-only
Links,(none),food-only
Loaf,(none),food-only
Oz,ounce,
Packages,pack,
Pat,(none),food-only
Piece,(none),food-only
Pinch,pinch,
Racks,(none),food-only
Scoop,(none),food-only
Shot,(none),food-only
Slices,(none),food-only
Small Piece,(none),food-only
Splash,splash,
Stalk,(none),food-only
Stick,(none),food-only
Tbsp,tablespoon,
To Taste,(none),to-taste
Tsp,teaspoon,
butter,(none),food-only
cups,cup,
grams,gram,
lb,pound,
lbs,pound,
leafs,(none),food-only
part,(none),food-only
pieces,(none),food-only
pint,pint,
pkg,pack,
sprig,sprig,
tub,(none),food-only
unit,(none),food-only
